question,answer,type,options
"What is the output of: print(2 ** 3)?","8","mcq","8,6,9,12"
"Write a Python function to calculate factorial.","def factorial(n): if n <= 1: return 1; return n * factorial(n-1)","coding",""
"What is a Python list?","A list is an ordered collection of items in Python, defined with square brackets []","conceptual",""
"How do you create a dictionary in Python?","{}","mcq","{},[],(),<>"
"Write a Python function to reverse a string.","def reverse_string(s): return s[::-1]","coding",""
"What is the difference between list and tuple?","Lists are mutable, tuples are immutable. Lists use [], tuples use ()","conceptual",""
"What is the purpose of indentation in Python?","Indentation defines code blocks and structure in Python","conceptual",""
"How do you handle exceptions in Python?","try-except blocks are used to handle exceptions","conceptual",""
"What is list comprehension in Python?","A concise way to create lists using [expression for item in iterable]","conceptual",""
"How do you define a function in Python?","def function_name():","coding",""
x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Hard
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Easy
Technical,Python,Name a key advantage of List Comprehension.,It offers benefits like improved performance or ease-of-use.,Easy
Technical,Python,Explain Python concept question 4.,"This concept is used to improve performance, scalability, or code efficiency.",Easy
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,Explain Python concept question 620.,"This concept is used to improve performance, scalability, or code efficiency.",Medium
Technical,Python,Explain Python concept question 543.,"This concept is used to improve performance, scalability, or code efficiency.",Hard
Technical,Python,When would you prefer GIL over Image Segmentation?,A brief description: GIL.,Medium
Technical,Python,What is the difference between Context Managers and Image Classification?,Context Managers differs from Image Classification in purpose and implementation.,Medium
Technical,Python,MCQ 95: Choose the correct option related to Python.,Correct option is based on concept understanding.,Medium
Technical,Python,MCQ 459: Choose the correct option related to Python.,Correct option is based on concept understanding.,Hard
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,Explain Python concept question 136.,"This concept is used to improve performance, scalability, or code efficiency.",Easy
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,Name a key advantage of List Comprehension.,It offers benefits like improved performance or ease-of-use.,Hard
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Hard
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Hard
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Hard
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Easy
Technical,Python,Explain Python concept question 554.,"This concept is used to improve performance, scalability, or code efficiency.",Medium
Technical,Python,MCQ 375: Choose the correct option related to Python.,Correct option is based on concept understanding.,Hard
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Hard
Technical,Python,MCQ 536: Choose the correct option related to Python.,Correct option is based on concept understanding.,Medium
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Easy
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Easy
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,MCQ 228: Choose the correct option related to Python.,Correct option is based on concept understanding.,Hard
Technical,Python,How is Generators implemented briefly?,Typically implemented using standard Python techniques and libraries.,Medium
Technical,Python,Name a key advantage of List Comprehension.,It offers benefits like improved performance or ease-of-use.,Easy
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Easy
Technical,Python,Explain Python concept question 752.,"This concept is used to improve performance, scalability, or code efficiency.",Medium
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Hard
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Medium
Technical,Python,"What will be the output of the following Python code?

x = [1, 2, 3]
print(x[::-1])",Answer depends on operator precedence and execution order.,Easy
Technical,Python,MCQ 256: Choose the correct option related to Python.,Correct option is based on concept understanding.,Easy
Technical,Python,Explain Python concept question 565.,"This concept is used to improve performance, scalability, or code efficiency.",Easy
Technical,Python,Explain Python concept question 81.,"This concept is used to improve performance, scalability, or code efficiency.",Hard
Technical,Python,MCQ 571: Choose the correct option related to Python.,Correct option is based on concept understanding.,Easy
